date,equity,cash,portfolio_value
2024-07-25,1045705.4227513361,52175.17625160566,
2024-07-26,1047541.4887406079,52258.780372118315,
2024-07-29,1047200.6640553107,52249.90305367444,
2024-07-30,1044263.6698011446,52112.46426561021,
2024-07-31,1058026.280529364,52795.696844702165,
2024-08-01,1060429.599600512,52879.45192165667,
2024-08-02,1049105.258333138,52360.97528686255,
2024-08-05,1025054.8613334853,51143.51002571863,
2024-08-06,1027116.0290318406,51263.52029085878,
2024-08-07,1026447.0739678787,51170.37021786778,
2024-08-08,1022779.6327383539,51056.20235876279,
2024-08-09,1018907.6923249634,50855.6258593283,
2024-08-12,1017043.3281368806,50793.68626530321,
2024-08-13,1023259.5841689566,51043.23840762371,
2024-08-14,1016437.6099940997,50748.48313443101,
2024-08-15,1023546.0959807041,51088.179636200046,
2024-08-16,1024543.8086212125,51175.29474942283,
2024-08-19,1028483.1600545158,51309.90794278307,
2024-08-20,1019963.5950587881,50878.86120562078,
2024-08-21,1020080.1943191384,50906.20100551807,
2024-08-22,1020963.7791069327,50965.46505805457,
2024-08-23,1022396.3688650834,51037.652670194526,
2024-08-26,1018483.7416886081,50841.87451805845,
2024-08-27,1013222.7110621715,50616.69371273935,
2024-08-28,1009004.0816155312,50385.176321434454,
2024-08-29,998816.2328952544,524259.4152437405,
2024-08-30,1001084.7751018225,525534.4947119885,
2024-09-02,997056.5277743108,523413.8400867882,
2024-09-03,997942.1823223189,523896.2251959216,
2024-09-04,994721.737145936,522201.8779506054,
2024-09-05,994780.5452145361,522237.1478279027,
2024-09-06,990908.8816969285,520204.467115477,
2024-09-09,986621.8770228918,517956.34752266976,
2024-09-10,986669.9334685998,517985.5497502871,
2024-09-11,986211.0270404138,517737.49609066226,
2024-09-12,983389.6098137558,516246.5514371476,
2024-09-13,980669.8746295955,514825.0026193034,
2024-09-18,983818.4450927495,516464.89839502965,
2024-09-19,984557.8613092231,516866.06004429597,
2024-09-20,985138.9106362867,517173.36802008643,
2024-09-23,985311.6939299142,517261.79301100865,
2024-09-24,1000381.6592696705,525178.1915762074,
2024-09-25,1005494.2049310787,184292.79899595532,
2024-09-26,1039163.8001342488,220835.4718155815,
2024-09-27,1076597.8014195517,413275.7826155984,
2024-09-30,1142731.6922807584,554233.4936129374,
2024-10-08,1195911.5282126619,765090.9992037496,
2024-10-09,1164826.864144647,770545.9641548056,
2024-10-10,1156550.5490509486,794995.17698128,
2024-10-11,1142139.2522851203,763669.5990622148,
2024-10-14,1150272.427254355,736308.4575741317,
2024-10-15,1138440.7544600265,712038.2933483088,
2024-10-16,1131868.5893196054,698061.4955472014,
2024-10-17,1130216.9102381435,682065.255803449,
2024-10-18,1153063.2943909303,682543.3866619383,
2024-10-21,1158238.1011633622,681738.9512608995,
2024-10-22,1160531.688886259,669715.9580781157,
2024-10-23,1161101.5717878868,657750.4403784896,
2024-10-24,1155413.1228575509,642441.2475550609,
2024-10-25,1164135.4719240793,633252.4697775985,
2024-10-28,1164328.9741977123,622899.04600658,
2024-10-29,1156964.4912020245,609048.1750703442,
2024-10-30,1152048.6795375412,599114.8791214115,
2024-10-31,1157091.3371382416,593907.318341168,
2024-11-01,1147613.4807891618,580364.1172522411,
2024-11-04,1158681.4320481624,574929.757954796,
2024-11-05,1179659.6833302039,578525.7614808163,
2024-11-06,1179751.5724372836,574645.4917408052,
2024-11-07,1198312.2686948716,606204.7112733229,
2024-11-08,1196074.2928279196,605030.8522084481,
2024-11-11,1210830.7474175864,607587.4837793317,
2024-11-12,1200904.9194702564,596325.877302902,
2024-11-13,1205539.448230206,594081.1326286284,
2024-11-14,1185527.0651951837,578211.2182805571,
2024-11-15,1165570.5118914798,566733.696828198,
2024-11-18,1152161.8614552845,557485.7365764123,
2024-11-19,1164276.3848267328,558111.3939727941,
2024-11-20,1167697.1126128982,554621.7189644028,
2024-11-21,1169041.5173689588,550196.038900921,
2024-11-22,1146003.4657830559,533657.7296278947,
2024-11-25,1145506.1788227535,537968.0479512253,
2024-11-26,1140904.688501292,531239.3993110873,
2024-11-27,1156787.0526865008,534089.2110010803,
2024-11-28,1150823.5196762509,528407.0322776332,
2024-11-29,1163352.0883331285,530152.4580976547,
2024-12-02,1172293.5642845947,529710.3945296099,
2024-12-03,1168471.9190228716,523527.08514399605,
2024-12-04,1159404.531159495,514478.86481921526,
2024-12-05,1161156.4128091447,508391.77485893306,
2024-12-06,1168947.7553094376,508127.2254728755,
2024-12-09,1164456.2639067697,502299.7203804268,
2024-12-10,1168305.383523874,500387.8766250791,
2024-12-11,1168123.747385299,495545.81528179644,
2024-12-12,1172529.1360121425,491933.8427147907,
2024-12-13,1155500.267157289,481555.9828016145,
2024-12-16,1145494.3765438432,480037.6034555994,
2024-12-17,1142658.7717192536,475621.39862447,
2024-12-18,1146391.8602989092,473321.3535918615,
2024-12-19,1150864.980403403,471891.07568400877,
2024-12-20,1152784.9961368334,469384.9082036828,
2024-12-23,1143990.311659707,463200.08342220564,
2024-12-24,1152135.3831841608,463421.0075940632,
2024-12-25,1148902.5781437326,445889.3285890567,
2024-12-26,1155554.4456892414,444443.89669806894,
