open,high,low,close,volume,eob
1.204746,1.209275,1.186629,1.191158,178817245,2010-12-08 00:00:00+08:00
1.191158,1.200217,1.1821,1.186629,126567958,2010-12-09 00:00:00+08:00
1.1821,1.191158,1.173042,1.191158,244077474,2010-12-10 00:00:00+08:00
1.186629,1.204746,1.1821,1.204746,245473116,2010-12-13 00:00:00+08:00
1.200217,1.204746,1.191158,1.200217,157682700,2010-12-14 00:00:00+08:00
1.200217,1.204746,1.191158,1.195687,160781824,2010-12-15 00:00:00+08:00
1.191158,1.195687,1.186629,1.191158,75509803,2010-12-16 00:00:00+08:00
1.191158,1.191158,1.1821,1.191158,82384021,2010-12-17 00:00:00+08:00
1.191158,1.195687,1.173042,1.1821,168332483,2010-12-20 00:00:00+08:00
1.1821,1.204746,1.177571,1.200217,216849245,2010-12-21 00:00:00+08:00
1.200217,1.200217,1.186629,1.186629,98200148,2010-12-22 00:00:00+08:00
1.186629,1.204746,1.177571,1.191158,186599908,2010-12-23 00:00:00+08:00
1.1821,1.200217,1.177571,1.191158,162311640,2010-12-24 00:00:00+08:00
1.195687,1.200217,1.177571,1.1821,150050268,2010-12-27 00:00:00+08:00
1.177571,1.1821,1.154925,1.159454,229639836,2010-12-28 00:00:00+08:00
1.163983,1.173042,1.159454,1.168513,115971709,2010-12-29 00:00:00+08:00
1.168513,1.1821,1.159454,1.177571,215093946,2010-12-30 00:00:00+08:00
1.177571,1.213804,1.168513,1.213804,387689957,2010-12-31 00:00:00+08:00
1.204746,1.209275,1.191158,1.209275,132367911,2011-01-04 00:00:00+08:00
1.200217,1.209275,1.186629,1.191158,136713371,2011-01-05 00:00:00+08:00
1.191158,1.195687,1.1821,1.1821,114108757,2011-01-06 00:00:00+08:00
1.177571,1.213804,1.177571,1.200217,307153039,2011-01-07 00:00:00+08:00
1.195687,1.204746,1.186629,1.191158,168495568,2011-01-10 00:00:00+08:00
1.191158,1.200217,1.1821,1.191158,147442156,2011-01-11 00:00:00+08:00
1.195687,1.204746,1.191158,1.204746,248191087,2011-01-12 00:00:00+08:00
1.204746,1.213804,1.195687,1.209275,154089602,2011-01-13 00:00:00+08:00
1.204746,1.209275,1.195687,1.200217,108555623,2011-01-14 00:00:00+08:00
1.191158,1.195687,1.168513,1.173042,181175000,2011-01-17 00:00:00+08:00
1.173042,1.1821,1.168513,1.177571,117040499,2011-01-18 00:00:00+08:00
1.177571,1.186629,1.173042,1.1821,116573573,2011-01-19 00:00:00+08:00
1.1821,1.186629,1.163983,1.168513,118323569,2011-01-20 00:00:00+08:00
1.168513,1.195687,1.163983,1.186629,132121576,2011-01-21 00:00:00+08:00
1.1821,1.1821,1.168513,1.173042,128018409,2011-01-24 00:00:00+08:00
1.173042,1.177571,1.168513,1.177571,85809381,2011-01-25 00:00:00+08:00
1.177571,1.1821,1.173042,1.1821,50351661,2011-01-26 00:00:00+08:00
1.177571,1.186629,1.168513,1.186629,140061760,2011-01-27 00:00:00+08:00
1.1821,1.1821,1.173042,1.1821,74271224,2011-01-28 00:00:00+08:00
1.177571,1.186629,1.173042,1.186629,82919777,2011-01-31 00:00:00+08:00
1.1821,1.191158,1.177571,1.186629,83664057,2011-02-01 00:00:00+08:00
1.1821,1.186629,1.177571,1.177571,74017768,2011-02-09 00:00:00+08:00
1.186629,1.186629,1.177571,1.1821,83779258,2011-02-10 00:00:00+08:00
1.1821,1.186629,1.177571,1.1821,151543791,2011-02-11 00:00:00+08:00
1.1821,1.218333,1.1821,1.213804,393967657,2011-02-14 00:00:00+08:00
1.209275,1.213804,1.200217,1.204746,201988411,2011-02-15 00:00:00+08:00
1.204746,1.209275,1.195687,1.209275,142377233,2011-02-16 00:00:00+08:00
1.204746,1.213804,1.200217,1.209275,96829461,2011-02-17 00:00:00+08:00
1.204746,1.204746,1.195687,1.200217,98643369,2011-02-18 00:00:00+08:00
1.195687,1.200217,1.186629,1.200217,144481942,2011-02-21 00:00:00+08:00
1.195687,1.195687,1.173042,1.177571,263860888,2011-02-22 00:00:00+08:00
1.177571,1.1821,1.173042,1.177571,103394996,2011-02-23 00:00:00+08:00
1.177571,1.1821,1.173042,1.177571,87094740,2011-02-24 00:00:00+08:00
1.177571,1.186629,1.173042,1.1821,86723714,2011-02-25 00:00:00+08:00
1.1821,1.186629,1.177571,1.1821,80204601,2011-02-28 00:00:00+08:00
1.1821,1.191158,1.1821,1.186629,144376296,2011-03-01 00:00:00+08:00
1.191158,1.222862,1.186629,1.209275,552478297,2011-03-03 00:00:00+08:00
1.204746,1.218333,1.204746,1.213804,223421790,2011-03-04 00:00:00+08:00
1.213804,1.23192,1.213804,1.222862,359118041,2011-03-07 00:00:00+08:00
1.222862,1.227391,1.213804,1.222862,149308016,2011-03-08 00:00:00+08:00
1.222862,1.23192,1.213804,1.218333,178657619,2011-03-09 00:00:00+08:00
1.218333,1.222862,1.200217,1.204746,134664037,2011-03-10 00:00:00+08:00
1.200217,1.209275,1.195687,1.195687,124263500,2011-03-11 00:00:00+08:00
1.191158,1.200217,1.186629,1.191158,135093810,2011-03-14 00:00:00+08:00
1.191158,1.195687,1.177571,1.191158,192229630,2011-03-15 00:00:00+08:00
1.186629,1.200217,1.186629,1.195687,110482208,2011-03-16 00:00:00+08:00
1.191158,1.191158,1.1821,1.186629,123115710,2011-03-17 00:00:00+08:00
1.191158,1.195687,1.186629,1.191158,118883772,2011-03-18 00:00:00+08:00
1.191158,1.200217,1.186629,1.200217,120722286,2011-03-21 00:00:00+08:00
1.200217,1.204746,1.191158,1.204746,154554689,2011-03-22 00:00:00+08:00
1.200217,1.213804,1.200217,1.209275,138797825,2011-03-23 00:00:00+08:00
1.209275,1.213804,1.204746,1.213804,117044652,2011-03-24 00:00:00+08:00
1.213804,1.227391,1.209275,1.222862,310371791,2011-03-25 00:00:00+08:00
1.227391,1.240979,1.222862,1.23192,363428356,2011-03-28 00:00:00+08:00
1.227391,1.259095,1.222862,1.240979,349966896,2011-03-29 00:00:00+08:00
1.245508,1.254566,1.23192,1.245508,237817162,2011-03-30 00:00:00+08:00
1.245508,1.259095,1.23192,1.250037,224126136,2011-03-31 00:00:00+08:00
1.250037,1.268153,1.245508,1.263624,210775008,2011-04-01 00:00:00+08:00
1.263624,1.304386,1.259095,1.295328,591280432,2011-04-06 00:00:00+08:00
1.295328,1.317974,1.28627,1.299857,339076066,2011-04-07 00:00:00+08:00
1.295328,1.299857,1.281741,1.295328,133550821,2011-04-08 00:00:00+08:00
1.295328,1.313444,1.295328,1.299857,240611112,2011-04-11 00:00:00+08:00
1.295328,1.304386,1.28627,1.28627,133115724,2011-04-12 00:00:00+08:00
1.281741,1.313444,1.277211,1.313444,162740750,2011-04-13 00:00:00+08:00
1.313444,1.358736,1.308915,1.340619,483372792,2011-04-14 00:00:00+08:00
1.340619,1.358736,1.331561,1.349677,233277065,2011-04-15 00:00:00+08:00
1.345148,1.363265,1.33609,1.349677,252996171,2011-04-18 00:00:00+08:00
1.340619,1.345148,1.317974,1.317974,160453093,2011-04-19 00:00:00+08:00
1.322503,1.33609,1.308915,1.331561,167188631,2011-04-20 00:00:00+08:00
1.33609,1.340619,1.317974,1.322503,170416645,2011-04-21 00:00:00+08:00
1.322503,1.327032,1.299857,1.304386,115207274,2011-04-22 00:00:00+08:00
1.304386,1.317974,1.295328,1.304386,138948720,2011-04-25 00:00:00+08:00
1.299857,1.313444,1.295328,1.304386,111671679,2011-04-26 00:00:00+08:00
1.308915,1.331561,1.304386,1.313444,226640521,2011-04-27 00:00:00+08:00
1.322503,1.363265,1.313444,1.340619,397912092,2011-04-28 00:00:00+08:00
1.33609,1.340619,1.304386,1.331561,224555634,2011-04-29 00:00:00+08:00
1.322503,1.327032,1.308915,1.322503,110364915,2011-05-03 00:00:00+08:00
1.313444,1.317974,1.281741,1.295328,156344053,2011-05-04 00:00:00+08:00
1.28627,1.331561,1.281741,1.327032,231634234,2011-05-05 00:00:00+08:00
1.313444,1.331561,1.304386,1.322503,137392838,2011-05-06 00:00:00+08:00
1.322503,1.331561,1.304386,1.308915,72581796,2011-05-09 00:00:00+08:00
1.308915,1.327032,1.299857,1.327032,66342608,2011-05-10 00:00:00+08:00
1.322503,1.327032,1.308915,1.317974,68241722,2011-05-11 00:00:00+08:00
1.313444,1.317974,1.295328,1.304386,70266177,2011-05-12 00:00:00+08:00
1.304386,1.317974,1.28627,1.313444,102669660,2011-05-13 00:00:00+08:00
1.308915,1.317974,1.295328,1.304386,106519735,2011-05-16 00:00:00+08:00
1.304386,1.313444,1.28627,1.308915,127319294,2011-05-17 00:00:00+08:00
1.304386,1.327032,1.299857,1.322503,98916091,2011-05-18 00:00:00+08:00
1.322503,1.33609,1.317974,1.322503,89248160,2011-05-19 00:00:00+08:00
1.322503,1.331561,1.317974,1.327032,72741915,2011-05-20 00:00:00+08:00
1.322503,1.327032,1.295328,1.299857,103939624,2011-05-23 00:00:00+08:00
1.295328,1.304386,1.28627,1.290799,104104796,2011-05-24 00:00:00+08:00
1.290799,1.295328,1.254566,1.259095,168256693,2011-05-25 00:00:00+08:00
1.263624,1.277211,1.259095,1.268153,163296891,2011-05-26 00:00:00+08:00
1.268153,1.277211,1.254566,1.259095,128491024,2011-05-27 00:00:00+08:00
1.254566,1.290799,1.250037,1.28627,135059370,2011-05-30 00:00:00+08:00
1.277211,1.290799,1.272682,1.28627,128988238,2011-05-31 00:00:00+08:00
1.295328,1.295328,1.277211,1.28627,132291057,2011-06-01 00:00:00+08:00
1.272682,1.281741,1.236449,1.254566,214605252,2011-06-02 00:00:00+08:00
1.250037,1.272682,1.250037,1.268153,172621507,2011-06-03 00:00:00+08:00
1.263624,1.268153,1.250037,1.259095,98117957,2011-06-07 00:00:00+08:00
1.250037,1.254566,1.227391,1.236449,196066432,2011-06-09 00:00:00+08:00
1.236449,1.245508,1.222862,1.236449,99907002,2011-06-10 00:00:00+08:00
1.23192,1.240979,1.218333,1.236449,107736510,2011-06-13 00:00:00+08:00
1.23192,1.245508,1.227391,1.236449,170790768,2011-06-14 00:00:00+08:00
1.23192,1.236449,1.227391,1.227391,78918732,2011-06-15 00:00:00+08:00
1.222862,1.23192,1.218333,1.227391,105282410,2011-06-16 00:00:00+08:00
1.232005,1.232005,1.218163,1.218163,48619015,2011-06-17 00:00:00+08:00
1.218163,1.222777,1.20432,1.218163,126521062,2011-06-20 00:00:00+08:00
1.213549,1.232005,1.213549,1.222777,103744398,2011-06-21 00:00:00+08:00
1.222777,1.255077,1.218163,1.245848,139957213,2011-06-22 00:00:00+08:00
1.241234,1.259691,1.23662,1.259691,89116028,2011-06-23 00:00:00+08:00
1.255077,1.291991,1.250462,1.287376,168321173,2011-06-24 00:00:00+08:00
1.287376,1.291991,1.278148,1.291991,107279219,2011-06-27 00:00:00+08:00
1.287376,1.291991,1.278148,1.287376,116087491,2011-06-28 00:00:00+08:00
1.287376,1.291991,1.273534,1.282762,142343351,2011-06-29 00:00:00+08:00
1.278148,1.291991,1.273534,1.291991,110024209,2011-06-30 00:00:00+08:00
1.291991,1.296605,1.255077,1.264305,161490024,2011-07-01 00:00:00+08:00
1.268919,1.282762,1.259691,1.278148,133470600,2011-07-04 00:00:00+08:00
1.278148,1.278148,1.259691,1.264305,110641726,2011-07-05 00:00:00+08:00
1.264305,1.264305,1.232005,1.245848,217111704,2011-07-06 00:00:00+08:00
1.250462,1.259691,1.222777,1.232005,285278025,2011-07-07 00:00:00+08:00
1.23662,1.245848,1.222777,1.241234,147643439,2011-07-08 00:00:00+08:00
1.23662,1.245848,1.227391,1.23662,84512601,2011-07-11 00:00:00+08:00
1.232005,1.23662,1.213549,1.227391,192768526,2011-07-12 00:00:00+08:00
1.232005,1.250462,1.227391,1.250462,204725635,2011-07-13 00:00:00+08:00
1.245848,1.250462,1.23662,1.245848,148721830,2011-07-14 00:00:00+08:00
1.245848,1.255077,1.232005,1.245848,168332399,2011-07-15 00:00:00+08:00
1.245848,1.259691,1.241234,1.259691,243729955,2011-07-18 00:00:00+08:00
1.255077,1.259691,1.245848,1.255077,132658658,2011-07-19 00:00:00+08:00
1.255077,1.264305,1.245848,1.255077,129115720,2011-07-20 00:00:00+08:00
1.250462,1.255077,1.23662,1.250462,155456442,2011-07-21 00:00:00+08:00
