date,action,code,shares,price
2024-12-06,SELL,300661,1.2434559250677566,72.43385
2024-12-06,SELL,300413,1.8476865847109138,28.98847
2024-12-09,SELL,601336,1.1116638943317199,50.7638
2024-12-09,BUY,601236,6.168777735320191,8.410231
2024-12-09,SELL,601238,0.266463908044841,9.69408
2024-12-09,BUY,601318,0.49462622696614034,52.42813
2024-12-09,BUY,601319,414.52132757679334,7.347451
2024-12-09,BUY,601360,7.441908297254599,12.84622
2024-12-09,BUY,601689,1.0202033255598835,52.99943
2024-12-09,BUY,601390,4.407160410221763,6.403438
2024-12-09,BUY,601618,910.9637303922073,3.343355
2024-12-09,SELL,601628,0.2664231373267967,43.33159
2024-12-09,BUY,601688,2.3485388498864666,18.11777
2024-12-09,SELL,601229,5.312108071935086,8.20964
2024-12-09,BUY,601377,5.949239892968478,6.355747
2024-12-09,BUY,601211,3.0796742521148133,18.57253
2024-12-09,BUY,600999,1.8162250933880841,19.03147
2024-12-09,SELL,601136,0.048320874425186844,24.4513
2024-12-09,BUY,600515,6.393497582728855,3.95
2024-12-09,SELL,600570,0.18141669749392975,31.1558
2024-12-09,BUY,600584,2.114688116687617,38.45795
2024-12-09,BUY,600588,5.793983179755315,12.66
2024-12-09,BUY,600600,0.3476659800800661,71.22129
2024-12-09,SELL,600760,63.1584771170574,47.25188
2024-12-09,BUY,601186,6.339995411875009,9.084019
2024-12-09,BUY,600887,1.9368628338191485,27.65574
2024-12-09,BUY,600958,3.0098343076713263,10.63846
2024-12-09,BUY,601698,5.015413177978758,21.53753
2024-12-09,BUY,601012,2.6872381795245985,17.63
2024-12-09,BUY,601066,1.0834964210431934,27.3479
2024-12-09,BUY,601117,6.712363810746638,8.006939
2024-12-09,SELL,601127,0.9056704939608089,143.0451
2024-12-09,BUY,600918,6.950073626285359,6.977813
2024-12-09,SELL,601788,2.3845697705043563,20.67497
2024-12-09,SELL,601998,447.4203694168039,6.812963
2024-12-09,BUY,601865,0.3623057903723037,24.02547
2024-12-09,BUY,600460,2.292816647079505,27.74507
2024-12-09,BUY,688599,3.227121257603443,23.68
2024-12-09,BUY,688506,0.11014296152342595,221.63
2024-12-09,SELL,688472,0.16969226648964764,14.56563
2024-12-09,BUY,688396,0.8783475302115278,49.3584
