date,base_regime,z_sigma,buy_th,sell_th,target_exp,actual_exp,long_candidate_count
2025-06-27,neutral,-0.2726644141694402,0.57,0.32,0.65,0.6500428403942878,129
2025-06-30,neutral,-0.2726433678053375,0.57,0.32,0.65,0.6500386703125965,129
2025-07-01,neutral,-0.2810324904424945,0.57,0.32,0.65,0.6500486267964459,129
2025-07-02,neutral,-0.2833786565319112,0.57,0.32,0.65,0.6500453947120146,129
2025-07-03,neutral,-0.2862792281766891,0.57,0.32,0.65,0.6500550645480565,129
2025-07-04,neutral,-0.28994257251043054,0.57,0.32,0.65,0.65003565504825,129
2025-07-07,bull,-1.2349600910459864,0.95,0.3,0.95,0.9506885421250134,15
2025-07-08,bull,-1.287872033138068,0.95,0.3,0.95,0.950073798454697,15
2025-07-09,bull,-1.2904353880358987,0.95,0.3,0.95,0.950126691539262,15
2025-07-10,bull,-1.324220603961289,0.95,0.3,0.95,0.9500690774424394,15
2025-07-11,bull,-1.3187823864128392,0.95,0.3,0.95,0.950126904868319,15
2025-07-14,bull,-1.3149487726583848,0.95,0.3,0.95,0.9500676127596596,15
2025-07-15,bull,-1.3108152918113718,0.95,0.3,0.95,0.9500829923521934,15
2025-07-16,bull,-1.3076482879938964,0.95,0.3,0.95,0.9500725067050053,15
2025-07-17,bull,-1.2998107088761666,0.95,0.3,0.95,0.9500696851695759,15
2025-07-18,neutral,-1.2871278005096098,0.57,0.32,0.65,0.6504712882370268,129
2025-07-21,neutral,-1.2783980559684842,0.57,0.32,0.65,0.650029359257212,129
2025-07-22,bull,-1.2674456001193535,0.95,0.3,0.95,0.9506895442381781,15
2025-07-23,neutral,-1.2513740007641072,0.57,0.32,0.65,0.6504712242154583,129
2025-07-24,neutral,-1.2489215393355015,0.57,0.32,0.65,0.6500365851176719,129
2025-07-25,neutral,-1.2371708445224154,0.57,0.32,0.65,0.6500422632429479,129
2025-07-28,neutral,-1.2237645916800564,0.57,0.32,0.65,0.6500363223017124,129
2025-07-29,neutral,-1.224164759407818,0.57,0.32,0.65,0.6500332870018617,129
2025-07-30,neutral,-1.2226178522728055,0.57,0.32,0.65,0.6500292142596178,129
2025-07-31,neutral,-1.2399324618717162,0.57,0.32,0.65,0.6500367031816543,129
2025-08-01,bull,-1.1445165639257662,0.95,0.3,0.95,0.9506897435649242,15
2025-08-04,bull,-1.1397839949818085,0.95,0.3,0.95,0.9500053824493472,15
2025-08-05,bull,-1.1384382049308284,0.95,0.3,0.95,0.9500089939911863,15
2025-08-06,bull,-1.153204074127171,0.95,0.3,0.95,0.9500633280342675,15
2025-08-07,bull,-1.1508256341897836,0.95,0.3,0.95,0.9500683249337352,15
2025-08-08,bull,-1.1812254530168207,0.95,0.3,0.95,0.9501840919987334,15
2025-08-11,bull,-1.2027482705570947,0.95,0.3,0.95,0.9500672939805644,15
2025-08-12,bull,-1.2061645437058766,0.95,0.3,0.95,0.9501888511045432,15
2025-08-13,bull,-1.2043433443735105,0.95,0.3,0.95,0.9501337774084787,15
2025-08-14,bull,-1.1956703844992769,0.95,0.3,0.95,0.9500143521780048,15
2025-08-15,bull,-1.1957651932704827,0.95,0.3,0.95,0.9500719186719176,15
2025-08-18,bull,-1.1853527731196596,0.95,0.3,0.95,0.9500716955318423,15
2025-08-19,bull,-1.1918689395975002,0.95,0.3,0.95,0.9501311129640183,15
2025-08-20,bull,-1.1958537612818803,0.95,0.3,0.95,0.9501881616684983,15
2025-08-21,bull,-1.1814063966998953,0.95,0.3,0.95,0.9500726320074884,15
2025-08-22,bull,-1.1797886314468866,0.95,0.3,0.95,0.9500694764241185,15
2025-08-25,bull,-1.0905698647817499,0.95,0.3,0.95,0.9500726080072603,15
2025-08-26,bull,-1.0209995510812693,0.95,0.3,0.95,0.950077840835598,15
2025-08-27,bull,-1.0118356992672652,0.95,0.3,0.95,0.9501285154022909,15
2025-08-28,bull,-0.9474930075420485,0.95,0.3,0.95,0.9500759136454627,15
2025-08-29,bull,-0.8975844185918264,0.95,0.3,0.95,0.9500798431520634,15
2025-09-01,bull,-0.8951277358605371,0.95,0.3,0.95,0.9501371131792974,15
2025-09-02,bull,-0.8931129188628764,0.95,0.3,0.95,0.9501932618449872,15
2025-09-03,bull,-0.8855768631232938,0.95,0.3,0.95,0.9500730042365035,15
